"edition","fy_year","sheet","class_code","class_name","procedure_code","procedure_name","points_num","pref_code","pref_name","count"
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"01","北海道",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"02","青森県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"03","岩手県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"04","宮城県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"05","秋田県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"06","山形県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"07","福島県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"08","茨城県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"09","栃木県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"10","群馬県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"11","埼玉県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"12","千葉県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"13","東京都",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"14","神奈川県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"15","新潟県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"16","富山県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"17","石川県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"18","福井県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"19","山梨県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"20","長野県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"21","岐阜県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"22","静岡県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"23","愛知県",NA
1,2014,"入院","M001","体外照射","180008810","体外照射（エックス線表在治療）（１回目）",110,"24","三重県",NA
