"pref_code","pref_name","year","total_count","population","count_per_100k"
"01","北海道",2014,200074,5400000,3705.07407407407
"02","青森県",2014,57527,1321000,4354.80696442089
"03","岩手県",2014,49851,1284000,3882.47663551402
"04","宮城県",2014,96541,2328000,4146.95017182131
"05","秋田県",2014,47362,1037000,4567.2131147541
"06","山形県",2014,38432,1131000,3398.05481874447
"07","福島県",2014,59674,1935000,3083.92764857881
"08","茨城県",2014,94506,2919000,3237.61562178828
"09","栃木県",2014,72729,1980000,3673.18181818182
"10","群馬県",2014,74785,1976000,3784.66599190283
"11","埼玉県",2014,169529,7239000,2341.88423815444
"12","千葉県",2014,174149,6197000,2810.21461997741
"13","東京都",2014,528900,13390000,3949.96265870052
"14","神奈川県",2014,278227,9096000,3058.78408091469
"15","新潟県",2014,83250,2313000,3599.22178988327
"16","富山県",2014,46225,1070000,4320.09345794393
"17","石川県",2014,48507,1156000,4196.10726643599
"18","福井県",2014,25015,790000,3166.45569620253
"19","山梨県",2014,32601,841000,3876.45659928656
"20","長野県",2014,74624,2109000,3538.35941204362
"21","岐阜県",2014,66599,2041000,3263.05732484076
"22","静岡県",2014,139378,3705000,3761.88933873144
"23","愛知県",2014,226396,7455000,3036.83433936955
"24","三重県",2014,44216,1825000,2422.79452054795
"25","滋賀県",2014,43133,1416000,3046.11581920904
"26","京都府",2014,90725,2610000,3476.05363984674
"27","大阪府",2014,330320,8836000,3738.34314169307
"28","兵庫県",2014,176871,5541000,3192.04114780726
"29","奈良県",2014,52206,1376000,3794.04069767442
"30","和歌山県",2014,32768,971000,3374.66529351184
"31","鳥取県",2014,21818,574000,3801.04529616725
"32","島根県",2014,23340,697000,3348.63701578192
"33","岡山県",2014,60245,1924000,3131.23700623701
"34","広島県",2014,103129,2833000,3640.275326509
"35","山口県",2014,44200,1408000,3139.20454545455
"36","徳島県",2014,28792,764000,3768.58638743455
"37","香川県",2014,34819,981000,3549.3374108053
"38","愛媛県",2014,51579,1395000,3697.41935483871
"39","高知県",2014,21286,738000,2884.28184281843
"40","福岡県",2014,206818,5091000,4062.42388528776
"41","佐賀県",2014,24992,835000,2993.05389221557
"42","長崎県",2014,48696,1386000,3513.41991341991
"43","熊本県",2014,58314,1794000,3250.5016722408
"44","大分県",2014,39176,1171000,3345.51665243382
"45","宮崎県",2014,35681,1114000,3202.96229802513
"46","鹿児島県",2014,54045,1668000,3240.10791366906
"47","沖縄県",2014,40126,1421000,2823.7860661506
"01","北海道",2015,195744,5382000,3637.01226309922
"02","青森県",2015,55659,1308000,4255.2752293578
"03","岩手県",2015,55827,1280000,4361.484375
"04","宮城県",2015,94312,2334000,4040.7883461868
"05","秋田県",2015,45490,1023000,4446.72531769306
"06","山形県",2015,35765,1124000,3181.93950177936
"07","福島県",2015,63822,1914000,3334.48275862069
"08","茨城県",2015,95296,2917000,3266.91806650668
"09","栃木県",2015,70140,1974000,3553.1914893617
"10","群馬県",2015,76821,1973000,3893.61378611252
"11","埼玉県",2015,176073,7267000,2422.91179303702
"12","千葉県",2015,185964,6223000,2988.333601157
"13","東京都",2015,543226,13515000,4019.43026267111
"14","神奈川県",2015,289612,9126000,3173.48235809774
"15","新潟県",2015,79599,2304000,3454.81770833333
"16","富山県",2015,39726,1066000,3726.6416510319
"17","石川県",2015,47116,1154000,4082.84228769497
"18","福井県",2015,25508,787000,3241.16899618806
"19","山梨県",2015,28431,835000,3404.91017964072
"20","長野県",2015,70690,2099000,3367.79418770843
"21","岐阜県",2015,66783,2032000,3286.56496062992
"22","静岡県",2015,138566,3700000,3745.02702702703
"23","愛知県",2015,226883,7483000,3031.97915274622
"24","三重県",2015,43934,1816000,2419.2731277533
"25","滋賀県",2015,46593,1413000,3297.45222929936
"26","京都府",2015,91338,2610000,3499.54022988506
"27","大阪府",2015,328013,8839000,3710.97409209187
"28","兵庫県",2015,182355,5535000,3294.57994579946
"29","奈良県",2015,53079,1364000,3891.42228739003
"30","和歌山県",2015,31939,964000,3313.17427385892
"31","鳥取県",2015,20947,573000,3655.67190226876
"32","島根県",2015,20809,694000,2998.41498559078
"33","岡山県",2015,57265,1922000,2979.44849115505
"34","広島県",2015,104152,2844000,3662.16596343179
"35","山口県",2015,43050,1405000,3064.05693950178
"36","徳島県",2015,27808,756000,3678.30687830688
"37","香川県",2015,32553,976000,3335.34836065574
"38","愛媛県",2015,49226,1385000,3554.2238267148
"39","高知県",2015,20666,728000,2838.73626373626
"40","福岡県",2015,213533,5102000,4185.28028224226
"41","佐賀県",2015,24457,833000,2936.0144057623
"42","長崎県",2015,47707,1377000,3464.56063907044
"43","熊本県",2015,60350,1786000,3379.05935050392
"44","大分県",2015,41549,1166000,3563.37907375643
"45","宮崎県",2015,32779,1104000,2969.11231884058
"46","鹿児島県",2015,53274,1648000,3232.64563106796
"47","沖縄県",2015,39943,1434000,2785.42538354254
"01","北海道",2016,202810,5352000,3789.4245142003
"02","青森県",2016,56273,1293000,4352.12683681361
"03","岩手県",2016,53206,1268000,4196.05678233438
"04","宮城県",2016,93650,2330000,4019.31330472103
"05","秋田県",2016,45193,1010000,4474.55445544554
"06","山形県",2016,39996,1113000,3593.53099730458
"07","福島県",2016,66990,1901000,3523.93477117307
"08","茨城県",2016,95201,2905000,3277.14285714286
"09","栃木県",2016,73721,1966000,3749.79654120041
"10","群馬県",2016,75369,1967000,3831.67259786477
"11","埼玉県",2016,178424,7289000,2447.8529290712
"12","千葉県",2016,193083,6236000,3096.26363053239
"13","東京都",2016,563022,13624000,4132.57486788021
"14","神奈川県",2016,298376,9145000,3262.7227993439
"15","新潟県",2016,83375,2286000,3647.20034995626
"16","富山県",2016,40061,1061000,3775.77756833176
"17","石川県",2016,47706,1151000,4144.74370112945
"18","福井県",2016,26975,782000,3449.48849104859
"19","山梨県",2016,29835,830000,3594.57831325301
"20","長野県",2016,76641,2088000,3670.54597701149
"21","岐阜県",2016,68465,2022000,3386.00395647873
"22","静岡県",2016,145370,3688000,3941.70281995662
"23","愛知県",2016,232822,7507000,3101.39869455175
"24","三重県",2016,45623,1808000,2523.39601769911
"25","滋賀県",2016,47295,1413000,3347.13375796178
"26","京都府",2016,90360,2605000,3468.71401151631
"27","大阪府",2016,338436,8833000,3831.49552813314
"28","兵庫県",2016,188048,5520000,3406.66666666667
