"pref_name","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"北海道",3705.1,3637,3789.4,3662.7,3775.7,3952.2,3686.7,3645.4,3698.7,3713.3
"青森県",4354.8,4255.3,4352.1,4526.8,4658.7,4930.1,4829.2,4681.4,4638,4473.1
"岩手県",3882.5,4361.5,4196.1,3790.4,4102.1,4180.2,4193,4191.5,4127.5,4412.4
"宮城県",4147,4040.8,4019.3,4233.8,4102.3,4343.8,4244.7,4293.1,4327.3,4328.9
"秋田県",4567.2,4446.7,4474.6,4550.8,4720.9,4650.3,4889.7,4360.6,4233,4530.4
"山形県",3398.1,3181.9,3593.5,3556.4,3679.5,3382.9,3210.6,3080.4,3211,2983.5
"福島県",3083.9,3334.5,3523.9,3439.1,3261.4,3463.3,3241.5,3288.6,3400.1,3418.2
"茨城県",3237.6,3266.9,3277.1,3304.3,3190.4,3351.5,3118.9,3186.9,3420.8,3395.1
"栃木県",3673.2,3553.2,3749.8,3673.2,3808.2,3773.7,3503.9,3556.1,3640.7,3753.4
"群馬県",3784.7,3893.6,3831.7,3489.3,3683.1,3723.1,3454.8,3465.2,3460.1,3590
"埼玉県",2341.9,2422.9,2447.9,2347.6,2434.7,2567.5,2421.2,2413.9,2331.3,2291.5
"千葉県",2810.2,2988.3,3096.3,2992.6,2885.9,2974.7,2755.1,2833.9,2725.9,2800.7
"東京都",3950,4019.4,4132.6,3860.9,3905.8,3936.5,3460.5,3525.4,3527.1,3542.1
"神奈川県",3058.8,3173.5,3262.7,3202.2,3247.7,3227,3097.6,3068.4,3088,3072.6
"新潟県",3599.2,3454.8,3647.2,3602.5,3661.7,3745.2,3644.9,3596,3518.2,3789.6
"富山県",4320.1,3726.6,3775.8,3338.1,3687.3,3787.8,3791.2,3589.4,3451.4,3719.5
"石川県",4196.1,4082.8,4144.7,3732.7,3678.5,3806.2,3382.1,3547.7,3695,3397.4
"福井県",3166.5,3241.2,3449.5,3152.8,3282.8,3525.7,3149.7,3269.2,2916.5,2670.7
"山梨県",3876.5,3404.9,3594.6,3396.7,3242.5,3291.5,3065.4,2888.3,2575.9,2537.2
"長野県",3538.4,3367.8,3670.5,3371,3263.3,3629.8,3494.2,3399.9,3346.7,3385.3
"岐阜県",3263.1,3286.6,3386,3301.6,3555.6,3566.9,3636.4,3422.6,3470,3595.8
"静岡県",3761.9,3745,3941.7,3709.3,3888.9,3994.6,3983.7,3719.8,3762.5,3838.5
"愛知県",3036.8,3032,3101.4,2991.7,3018.9,2978,2856,2775.7,2806.3,2854
"三重県",2422.8,2419.3,2523.4,2574.4,2861.1,2981.8,3044.7,3122.6,3009.8,3140.8
"滋賀県",3046.1,3297.5,3347.1,3279.1,3323.9,3281.4,3018,3103.8,3134.2,3218.1
"京都府",3476.1,3499.5,3468.7,3398.3,3468,3480.3,3381.1,3653.7,3437.4,3607.2
"大阪府",3738.3,3711,3831.5,3770.1,3755.1,3800.7,3453.2,3408.8,3372,3478.6
"兵庫県",3192,3294.6,3406.7,3086.2,3189.8,3212.7,3068.1,3065.9,3009.7,2922.3
"奈良県",3794,3891.4,3994.9,3817.7,3999.8,4307.3,4153.5,4162.6,3949,4085.2
"和歌山県",3374.7,3313.2,3418,3350.8,3482.6,3712.1,3536.9,3677.7,3506.2,3519.3
"鳥取県",3801,3655.7,3811.9,3795.6,3778.4,4036.3,3870.2,3818.6,3939.9,4664.2
"島根県",3348.6,2998.4,3480,3491.2,3587.5,4050.7,3951.4,3718.5,3622,3540.2
"岡山県",3131.2,2979.4,3015.7,3128.2,3162.3,3191,3113.1,3411.9,3191.8,3273.7
"広島県",3640.3,3662.2,3946.7,3871.5,3899.2,3851.5,3805.1,3672.1,3635.5,3876.6
"山口県",3139.2,3064.1,3130.1,3074.1,3016,2921.4,2781.1,2816.6,2800.5,3124.4
"徳島県",3768.6,3678.3,3872.8,3855.6,3774.2,4143.7,4150.6,4204.1,3934.2,4172.2
"香川県",3549.3,3335.3,3533.2,3610.7,3351.2,3496,3219.9,3235.5,3076.3,3162.3
"愛媛県",3697.4,3554.2,3687.4,3580.1,3537.4,3937.6,3626.3,3846.6,3561.9,3573.9
"高知県",2884.3,2838.7,2737.4,2700,2958.6,3181.4,2776.6,2925.1,2890.7,3222.2
"福岡県",4062.4,4185.3,4160.7,3960.4,3996.8,4104.1,3877,3810,3845.8,4030.4
"佐賀県",2993.1,2936,2738.5,2549.5,2567,2398,2342.3,2525.3,2594.6,2629.6
"長崎県",3513.4,3464.6,3513.3,3484.9,3546.8,3967.8,3939.6,3716.3,3657.7,3942.5
"熊本県",3250.5,3379.1,3168.7,3091.2,3218.7,3298.8,3285.5,3292.5,3260.4,3677.9
"大分県",3345.5,3563.4,3595.7,3276.5,3735,3785.1,3603.6,3468.5,3640.7,3832.8
"宮崎県",3203,2969.1,3082.8,2896.7,3111.8,3178.6,3547.8,3298.1,3600,3618.6
"鹿児島県",3240.1,3232.6,3393.2,3311.4,3354.8,3605.9,3634,3601.1,3536.7,3373
"沖縄県",2823.8,2785.4,2959.4,2987.2,3162.7,3304.9,2881.6,2949.2,2934.1,3049.4
