"pref_name","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"北海道",200074,195744,202810,194857,199583,207492,192629,188941,190111,189083
"青森県",57527,55659,56273,57853,58840,61429,59786,57160,55841,52962
"岩手県",49851,55827,53206,47570,50907,51291,50777,50130,48746,51316
"宮城県",96541,94312,93650,98351,95009,100169,97712,98313,98663,98007
"秋田県",47362,45490,45193,45326,46312,44922,46941,41208,39367,41408
"山形県",38432,35765,39996,39191,40107,36468,34289,32498,33427,30611
"福島県",59674,63822,66990,64723,60792,63932,59417,59590,60862,60400
"茨城県",94506,95296,95201,95560,91788,95852,89418,90890,97151,95911
"栃木県",72729,70140,73721,71885,74108,72983,67731,68312,69501,71202
"群馬県",74785,76821,75369,68391,71894,72302,66989,66775,66192,68281
"埼玉県",169529,176073,178424,171608,178466,188710,177836,177183,171044,167991
"千葉県",174149,185964,193083,186917,180515,186188,173132,177828,170804,175237
"東京都",528900,543226,563022,529864,539853,548005,486126,493910,495139,498943
"神奈川県",278227,289612,298376,293292,298039,296815,286125,283393,285083,283566
"新潟県",83250,79599,83375,81669,82241,83255,80224,78286,75747,80567
"富山県",46225,39726,40061,35250,38717,39545,39239,36791,35101,37455
"石川県",48507,47116,47706,42814,42045,43314,38319,39912,41310,37677
"福井県",25015,25508,26975,24560,25409,27077,24158,24846,21961,19870
"山梨県",32601,28431,29835,27955,26491,26694,24830,23251,20659,20196
"長野県",74624,70690,76641,69982,67321,74375,71562,69120,67604,67842
"岐阜県",66599,66783,68465,66297,71006,70874,71965,67118,67526,69434
"静岡県",139378,138566,145370,136317,142296,145563,144728,134212,134773,136459
"愛知県",226396,226883,232822,225128,227536,224897,215402,208653,210329,213390
"三重県",44216,43934,45623,46339,51242,53106,53892,54832,52430,54242
"滋賀県",43133,46593,47295,46334,46934,46399,42675,43795,44161,45279
"京都府",90725,91338,90360,88323,89855,89897,87165,93570,87654,91442
"大阪府",330320,328013,338436,332632,330938,334803,305192,300178,296126,304832
"兵庫県",176871,182355,188048,169835,174926,175604,167669,166537,162582,156926
"奈良県",52206,53079,54171,51462,53557,57287,54993,54738,51574,52944
"和歌山県",32768,31939,32608,31665,32562,34337,32646,33614,31661,31392
"鳥取県",21818,20947,21728,21445,21159,22442,21402,20964,21433,25047
"島根県",23340,20809,24012,23915,24395,27302,26514,24728,23833,23011
"岡山県",60245,57265,57750,59655,60020,60309,58775,64007,59432,60465
"広島県",103129,104152,111969,109525,109841,107996,106542,102083,100340,106142
"山口県",44200,43050,43634,42515,41319,39672,37323,37405,36770,40555
"徳島県",28792,27808,29046,28647,27778,30166,29884,29933,27697,28997
"香川県",34819,32553,34343,34915,32239,33422,30589,30478,28733,29283
"愛媛県",51579,49226,50702,48833,47825,52725,48411,50814,46519,46139
"高知県",21286,20666,19737,19278,20888,22206,19214,20008,19541,21460
"福岡県",206818,213533,212361,202256,204116,209471,199082,195225,196751,205673
"佐賀県",24992,24457,22675,21008,21024,19544,18996,20354,20783,20905
"長崎県",48696,47707,48027,47186,47563,52653,51687,48201,46928,49952
"熊本県",58314,60350,56213,54559,56552,57663,57102,56895,56014,62855
"大分県",39176,41549,41710,37745,42728,42961,40504,38639,40302,42008
"宮崎県",35681,32779,33787,31545,33639,34106,37961,34993,37872,37706
"鹿児島県",54045,53274,55546,53843,54147,57766,57708,56753,55278,52247
"沖縄県",40126,39943,42586,43106,45796,48020,42273,43294,43073,44765
