"pref_code","year","population_1000","population"
"01",2014,5400,5400000
"02",2014,1321,1321000
"03",2014,1284,1284000
"04",2014,2328,2328000
"05",2014,1037,1037000
"06",2014,1131,1131000
"07",2014,1935,1935000
"08",2014,2919,2919000
"09",2014,1980,1980000
"10",2014,1976,1976000
"11",2014,7239,7239000
"12",2014,6197,6197000
"13",2014,13390,13390000
"14",2014,9096,9096000
"15",2014,2313,2313000
"16",2014,1070,1070000
"17",2014,1156,1156000
"18",2014,790,790000
"19",2014,841,841000
"20",2014,2109,2109000
"21",2014,2041,2041000
"22",2014,3705,3705000
"23",2014,7455,7455000
"24",2014,1825,1825000
"25",2014,1416,1416000
"26",2014,2610,2610000
"27",2014,8836,8836000
"28",2014,5541,5541000
"29",2014,1376,1376000
"30",2014,971,971000
"31",2014,574,574000
"32",2014,697,697000
"33",2014,1924,1924000
"34",2014,2833,2833000
"35",2014,1408,1408000
"36",2014,764,764000
"37",2014,981,981000
"38",2014,1395,1395000
"39",2014,738,738000
"40",2014,5091,5091000
"41",2014,835,835000
"42",2014,1386,1386000
"43",2014,1794,1794000
"44",2014,1171,1171000
"45",2014,1114,1114000
"46",2014,1668,1668000
"47",2014,1421,1421000
"01",2015,5382,5382000
"02",2015,1308,1308000
"03",2015,1280,1280000
"04",2015,2334,2334000
"05",2015,1023,1023000
"06",2015,1124,1124000
"07",2015,1914,1914000
"08",2015,2917,2917000
"09",2015,1974,1974000
"10",2015,1973,1973000
"11",2015,7267,7267000
"12",2015,6223,6223000
"13",2015,13515,13515000
"14",2015,9126,9126000
"15",2015,2304,2304000
"16",2015,1066,1066000
"17",2015,1154,1154000
"18",2015,787,787000
"19",2015,835,835000
"20",2015,2099,2099000
"21",2015,2032,2032000
"22",2015,3700,3700000
"23",2015,7483,7483000
"24",2015,1816,1816000
"25",2015,1413,1413000
"26",2015,2610,2610000
"27",2015,8839,8839000
"28",2015,5535,5535000
"29",2015,1364,1364000
"30",2015,964,964000
"31",2015,573,573000
"32",2015,694,694000
"33",2015,1922,1922000
"34",2015,2844,2844000
"35",2015,1405,1405000
"36",2015,756,756000
"37",2015,976,976000
"38",2015,1385,1385000
"39",2015,728,728000
"40",2015,5102,5102000
"41",2015,833,833000
"42",2015,1377,1377000
"43",2015,1786,1786000
"44",2015,1166,1166000
"45",2015,1104,1104000
"46",2015,1648,1648000
"47",2015,1434,1434000
"01",2016,5352,5352000
"02",2016,1293,1293000
"03",2016,1268,1268000
"04",2016,2330,2330000
"05",2016,1010,1010000
"06",2016,1113,1113000
"07",2016,1901,1901000
"08",2016,2905,2905000
"09",2016,1966,1966000
"10",2016,1967,1967000
"11",2016,7289,7289000
"12",2016,6236,6236000
"13",2016,13624,13624000
"14",2016,9145,9145000
"15",2016,2286,2286000
"16",2016,1061,1061000
"17",2016,1151,1151000
"18",2016,782,782000
"19",2016,830,830000
"20",2016,2088,2088000
"21",2016,2022,2022000
"22",2016,3688,3688000
"23",2016,7507,7507000
"24",2016,1808,1808000
"25",2016,1413,1413000
"26",2016,2605,2605000
"27",2016,8833,8833000
"28",2016,5520,5520000
"29",2016,1356,1356000
"30",2016,954,954000
"31",2016,570,570000
"32",2016,690,690000
"33",2016,1915,1915000
"34",2016,2837,2837000
"35",2016,1394,1394000
"36",2016,750,750000
"37",2016,972,972000
"38",2016,1375,1375000
"39",2016,721,721000
"40",2016,5104,5104000
"41",2016,828,828000
"42",2016,1367,1367000
"43",2016,1774,1774000
"44",2016,1160,1160000
"45",2016,1096,1096000
"46",2016,1637,1637000
"47",2016,1439,1439000
"01",2017,5320,5320000
"02",2017,1278,1278000
"03",2017,1255,1255000
"04",2017,2323,2323000
"05",2017,996,996000
"06",2017,1102,1102000
"07",2017,1882,1882000
"08",2017,2892,2892000
"09",2017,1957,1957000
"10",2017,1960,1960000
"11",2017,7310,7310000
"12",2017,6246,6246000
"13",2017,13724,13724000
"14",2017,9159,9159000
"15",2017,2267,2267000
"16",2017,1056,1056000
"17",2017,1147,1147000
"18",2017,779,779000
"19",2017,823,823000
"20",2017,2076,2076000
"21",2017,2008,2008000
"22",2017,3675,3675000
"23",2017,7525,7525000
"24",2017,1800,1800000
"25",2017,1413,1413000
"26",2017,2599,2599000
"27",2017,8823,8823000
"28",2017,5503,5503000
"29",2017,1348,1348000
"30",2017,945,945000
"31",2017,565,565000
"32",2017,685,685000
"33",2017,1907,1907000
"34",2017,2829,2829000
